Case #1: Impossible
3 15 70411
14 12 70455
6 33 76228
32 15 78976
34 6 81543
34 4 83809
30 23 86081
31 19 88767
19 10 96635
26 27 97286
34 23 99106
2 12 102746
23 2 106353
4 35 110304
36 20 111710
7 16 116536
8 11 117218
21 35 119439
34 2 121753
4 6 123255
12 16 124041
35 23 125601
16 2 126005
24 4 126819
22 33 128738
16 34 129962
33 8 130186
21 20 133730
20 18 135247
35 36 141459
16 17 141619
14 4 145529
34 21 145934
18 31 146519
22 4 147088
18 25 152711
23 25 153310
23 36 167638
23 22 168877
4 36 170457
8 4 174185
8 26 177093
10 21 179207
21 23 189658
21 16 217317
Case #9: 8
3 21 123315
2 5 517478
5 21 648836
10 17 702188
19 13 747249
11 19 801332
5 10 880189
9 18 947814
Case #10: Impossible
Case #11: 4
6 3 442949
4 2 596282
1 5 643649
3 4 867540
Case #12: 1
3 1 5
Case #13: 192
16 8 4835
17 27 15114
40 20 27655
30 28 57674
1 4 66814
18 15 68769
32 43 78519
37 9 79972
33 28 89746
9 32 90288
18 16 90892
11 47 93306
25 11 98939
3 20 99605
45 26 100156
15 35 102684
43 33 107118
26 35 108663
18 44 109853
31 30 112632
43 11 113562
18 28 113884
26 43 117226
45 46 118779
46 17 126085
11 39 128716
18 43 131256
10 15 131567
13 12 132012
30 17 134020
46 18 135218
19 21 135463
9 15 135761
25 28 140478
43 16 140731
35 47 141276
47 18 141464
24 10 141783
18 20 142192
11 10 143497
13 40 143545
35 25 144859
39 20 145375
11 29 145942
47 43 147124
3 26 147842
8 10 148855
6 25 150914
27 31 150934
21 26 151005
15 8 154826
47 4 155729
15 13 155995
2 12 157697
25 43 157850
28 16 158103
27 44 160116
8 13 160425
25 46 161812
45 20 167600
39 15 168089
12 8 168644
32 17 172237
34 15 172296
29 41 174977
30 8 176198
24 29 176509
14 25 177328
9 25 177936
7 30 179728
15 26 180335
30 46 181180
6 40 182069
3 13 182177
39 43 182534
29 26 183031
39 17 183464
9 28 186179
47 37 188545
33 18 193967
33 45 194935
3 21 196862
5 32 199507
6 10 199689
17 33 200836
42 24 201694
45 8 202958
38 10 204024
34 10 207653
20 14 208576
26 20 208924
23 18 209001
30 9 209109
35 27 209672
18 27 209860
38 15 209995
33 7 211800
32 8 214415
10 42 217243
6 27 220389
25 33 220561
26 40 220607
12 14 223115
37 21 223396
32 47 224979
21 43 227478
35 9 227533
31 13 227826
1 34 228446
25 41 230377
38 16 232118
16 40 233639
5 24 234837
23 25 235595
20 33 237339
1 37 238717
1 19 239333
40 7 242807
6 21 243079
18 36 243109
4 41 244059
19 38 244520
17 21 245543
6 33 248903
24 30 250543
14 29 253743
28 38 255110
30 12 258117
32 39 260389
29 34 261474
34 45 261756
33 1 265380
38 35 266634
29 39 267330
36 30 268450
44 3 269336
30 34 269396
20 36 272067
13 26 272722
13 2 279717
33 24 282615
37 12 285933
20 41 289823
17 37 292081
6 41 292210
16 41 294675
5 28 295398
32 12 296334
5 38 296848
22 4 298014
38 14 299103
5 4 300343
5 45 303837
46 19 306279
32 36 306667
34 32 307613
44 19 308983
36 12 311604
24 44 314434
42 3 314829
12 47 314908
44 2 315202
29 22 317019
41 24 317107
28 41 317667
40 5 318310
36 33 321143
37 23 321191
42 13 331114
39 5 333364
38 33 335193
22 3 335358
10 5 335930
7 41 337549
21 42 338471
19 31 339108
42 36 344617
21 12 345159
19 34 350474
5 26 355877
41 14 361660
6 2 375250
30 19 383115
12 38 395927
1 38 395996
5 16 404641
41 2 409132
2 21 417698
36 41 446892
2 29 449724
5 12 468962
36 19 490350
Case #14: 24
2 6 16267
8 11 54489
8 1 156025
3 11 198412
12 11 212959
9 10 297397
3 5 313154
9 1 376166
9 5 376838
2 12 379214
10 7 387060
7 9 422066
3 4 431196
1 6 448775
2 8 455458
11 6 455560
9 2 459969
3 6 467538
12 7 468274
5 4 471379
6 7 550356
4 10 550820
8 4 620005
7 4 754746
Case #15: 50
24 29 2894
10 30 244172
42 47 280741
32 5 311929
1 24 317074
27 33 321461
45 9 324238
32 8 324609
19 43 366674
34 29 368251
17 45 369579
10 8 374907
28 29 385813
35 43 390477
29 14 401463
32 45 424346
40 39 443441
3 45 446257
21 20 447827
41 44 451636
47 13 457442
29 36 468511
8 30 468691
11 39 502532
21 16 511245
5 39 512655
7 47 528578
47 4 537716
45 39 539362
31 37 542691
25 4 552032
47 38 612271
13 34 612412
43 32 615565
15 17 619615
32 12 624987
32 31 630002
37 43 646326
5 45 658735
42 5 687310
5 41 693346
43 47 710205
43 39 717953
18 13 766330
31 4 769455
19 4 770843
9 18 795286
6 37 881589
49 26 890831
4 20 919950
Case #16: Impossible
Case #17: Impossible
Case #18: 28
12 5 13918
7 13 23483
13 10 37749
3 6 44326
3 14 54874
14 5 59607
1 5 72733
1 4 76870
13 9 80542
4 13 84064
8 10 91742
14 7 161506
6 1 161558
11 14 167436
3 1 172316
4 6 190163
4 14 200711
6 10 204932
12 8 226569
11 12 227470
3 13 228720
6 9 229955
4 11 253620
11 10 295313
2 14 338757
9 2 401273
2 6 403741
2 10 505515
Case #19: Impossible
Case #20: Impossible
Case #21: Impossible
Case #22: 108
6 14 7461
5 28 18786
26 2 21648
9 6 25643
4 3 34421
24 28 47094
29 8 47570
4 15 80694
16 7 86151
4 18 92553
17 18 103864
8 25 110348
2 3 123368
14 3 134013
11 27 139517
23 8 140869
30 8 141978
30 25 143074
13 11 143410
26 12 143803
18 7 147486
8 7 148119
20 1 156280
11 24 157336
2 5 157849
25 20 162776
3 28 167759
27 13 168418
13 15 170029
12 30 173277
13 17 173926
6 16 175992
18 19 176585
24 3 177281
30 5 177510
24 15 177904
1 11 187098
18 8 188041
24 7 193328
27 7 194140
4 23 194721
16 20 198164
20 18 202653
7 3 205618
5 18 207105
18 9 210327
12 18 213869
18 21 214195
13 8 214439
15 27 221733
23 15 222323
8 5 222524
1 14 225337
19 13 225895
7 11 229327
24 25 231099
4 29 233024
18 10 233276
15 9 233306
10 19 233357
19 3 234717
6 17 237770
23 2 238370
2 7 239200
8 26 239263
21 11 240818
9 2 241559
2 8 241915
4 10 243261
3 25 243389
1 23 244721
2 11 246950
3 1 249885
25 9 250015
28 14 252423
12 5 253823
11 15 262997
23 13 263266
10 23 270728
17 22 272164
29 28 278372
22 2 284314
25 17 289121
5 20 290957
13 28 291224
15 25 293018
24 10 293284
16 26 296105
5 9 301168
26 1 305115
6 19 310272
30 15 311479
26 20 316015
10 1 323046
6 12 328294
9 24 329476
22 30 331337
14 29 332616
7 10 339679
12 20 350466
29 9 350798
9 21 364040
8 22 368808
21 6 372401
27 14 375210
16 22 428069
22 6 448301
22 7 486586
Case #23: 216
29 37 2317
4 14 4689
29 32 6325
30 19 6654
19 4 7381
1 9 9974
30 9 10606
9 4 11333
34 29 13043
1 19 13926
14 9 14568
27 5 15287
40 30 19801
37 13 21274
34 19 24732
9 37 26324
16 36 26339
37 4 29616
29 38 29629
37 19 30276
23 36 32179
29 30 32660
18 20 33106
1 29 33981
34 14 35348
30 27 38430
8 30 39507
8 4 40234
18 29 41680
14 27 42392
14 8 43469
13 30 43601
17 40 45537
9 8 47774
38 4 48699
12 30 49974
16 12 50346
38 14 51934
26 15 53321
14 12 53936
4 5 54444
12 7 55649
12 23 56186
24 1 57858
12 9 58241
17 14 61376
30 26 61793
15 27 61941
26 4 62520
10 20 62556
32 23 62812
27 32 64765
15 12 65140
14 26 65755
8 32 65842
8 7 66116
5 21 66705
7 26 67468
40 38 67773
29 27 68107
8 34 68554
27 18 70047
9 26 70060
29 10 71130
26 10 74665
36 4 74708
32 12 76309
36 14 77943
36 19 78296
21 33 78349
22 1 78885
34 12 79021
12 25 79202
16 31 79462
22 30 79517
4 10 79754
23 1 79979
23 13 80078
4 22 80244
18 3 80348
24 37 80491
23 30 80611
4 23 81338
12 29 82248
14 10 82989
24 15 83477
14 22 83479
15 20 83900
14 23 84573
38 8 85140
19 10 85681
38 23 86116
38 27 86402
26 32 88128
36 29 88666
36 15 89147
38 31 90192
33 30 90490
34 26 90840
33 4 91217
34 24 91217
18 24 91583
10 3 92218
12 38 92505
15 1 93687
37 28 94040
15 37 94791
38 16 94837
22 37 95235
6 4 96142
17 16 96990
34 22 97595
28 32 98048
18 23 98167
20 9 98793
40 10 98828
23 15 99797
4 15 101098
24 12 101147
24 27 102730
19 20 102745
26 18 104115
11 34 104643
15 34 105517
34 16 111423
24 8 111614
5 26 113331
18 8 113461
15 3 113562
25 15 115226
18 12 115934
40 6 116670
32 33 116825
20 2 118272
38 11 121229
32 6 121750
3 24 121996
28 30 124383
28 1 125704
26 2 125988
25 4 129903
31 19 131510
27 3 132815
9 11 133327
25 19 133491
22 18 134598
24 23 134661
23 6 134944
27 6 135299
9 31 135462
39 29 136447
10 25 136570
8 31 140275
25 34 140279
31 26 141627
29 25 143861
12 6 146843
14 2 147171
28 23 148210
19 3 149987
39 14 150466
2 6 150527
2 9 151476
19 39 153158
10 35 156258
10 22 158544
12 21 159813
27 28 159830
33 36 164471
39 40 166305
10 33 169517
32 2 169544
7 2 169818
26 21 171632
11 23 174173
8 3 174732
6 10 174959
18 39 177231
16 22 177498
17 25 178524
6 20 178615
7 22 182801
22 28 184641
39 27 184934
13 2 186810
38 2 188842
33 15 189311
16 21 192078
25 2 193371
39 12 196478
5 2 196926
21 35 204094
31 22 204373
22 25 206354
39 10 206681
28 11 209409
28 31 211544
11 16 213887
35 3 215995
3 16 216421
35 4 216962
3 6 221557
15 39 228025
39 28 228170
31 39 232263
31 21 232507
35 40 236036
35 12 242742
6 39 243373
35 28 245170
21 2 253048
35 8 253209
35 38 253619
11 2 276899
35 23 277399
2 35 287025
Case #24: 50
29 41 20984
8 40 128186
7 34 202587
19 10 243501
15 42 306821
18 7 350086
15 3 363812
19 20 401579
32 49 411306
27 46 415226
5 45 432860
4 7 446262
19 42 450436
33 23 470049
29 45 513148
11 13 526247
49 18 531902
45 49 537708
15 41 563159
20 13 564588
7 1 595438
32 24 598135
34 31 619080
8 24 632527
32 34 632770
38 18 654365
29 50 666555
5 49 682785
13 50 686232
35 46 696352
17 46 714168
9 17 715568
11 29 726548
48 4 760337
34 50 762219
8 11 770282
13 18 780418
46 12 790366
3 4 796128
46 23 802876
31 29 835061
34 21 867452
5 50 874498
19 17 892780
26 6 892885
37 3 903104
49 30 908734
33 3 914028
5 12 928750
27 24 990966
Case #25: Impossible
Case #26: 95
7 26 360
7 32 4256
5 17 6177
33 35 6180
33 30 6790
8 23 11387
7 33 11407
6 16 11905
9 23 12064
34 33 12107
29 31 14545
21 3 15819
27 34 16050
8 12 16065
24 33 16366
14 12 22603
34 26 23493
26 14 24413
4 18 25224
18 9 25674
23 16 26923
23 14 27281
22 10 28069
9 16 29631
14 9 29989
5 7 31227
15 1 32703
18 12 33060
32 17 33148
30 3 37240
7 31 37802
32 36 39480
17 25 39620
25 18 44126
14 16 44848
13 23 46304
27 5 47023
4 11 47302
15 33 50674
12 13 50982
26 22 55815
18 10 56853
4 10 59863
29 10 60675
21 28 62240
10 30 65499
8 32 66010
20 30 66140
36 5 66451
7 20 70757
34 20 71457
17 4 72967
15 9 75057
27 25 79805
16 19 79809
35 4 81313
1 18 81922
12 15 82443
30 28 83661
4 7 86540
4 34 87240
15 4 89401
24 4 91499
8 5 92981
1 6 94711
22 12 96472
23 22 101150
10 14 101938
12 19 102054
27 28 103063
22 9 103858
11 1 104000
1 12 105051
20 15 110024
25 1 112159
11 5 114092
1 10 116561
22 16 118717
4 2 120784
2 22 120819
17 13 128292
4 20 134483
4 21 134982
2 10 136167
28 23 145637
3 2 146897
19 1 162615
4 28 165584
3 11 166465
11 31 166549
1 2 177482
28 18 178322
5 2 187574
2 28 193318
14 2 194688
Case #27: 215
41 6 720
41 9 1060
36 3 1508
34 41 2501
42 45 3204
29 46 4659
6 7 5854
18 19 6052
9 3 6799
19 12 7765
23 41 10117
10 29 11627
36 45 11701
27 46 11888
46 26 13847
23 18 15061
13 40 15089
18 5 16670
23 12 16774
1 42 17210
4 2 17213
37 24 18030
41 19 19126
47 14 23240
12 2 25782
49 47 26084
23 2 27026
5 2 27928
5 41 29744
49 9 32360
19 35 32849
1 27 33305
42 19 34851
19 4 35230
19 30 36700
26 49 36864
20 15 37001
37 4 37127
47 27 37213
19 37 37931
24 2 37944
10 18 38256
10 49 39303
40 21 40323
48 28 40614
5 4 41164
23 35 41858
9 27 43489
34 15 43826
6 48 44021
31 40 44345
48 9 44361
28 1 45088
5 42 45469
15 6 45607
30 23 45709
48 34 45802
34 46 46030
23 37 46940
30 5 47318
46 6 47811
37 5 47842
3 8 47984
20 38 48711
20 12 49288
46 21 49610
32 30 49871
7 46 50103
17 19 51030
9 31 51781
20 5 52141
2 42 52868
30 27 53304
48 23 53418
31 46 53632
30 2 54717
44 33 56238
45 15 56394
41 21 56863
39 22 57269
2 21 57542
18 26 59071
17 23 60039
4 49 60530
42 8 61381
37 20 61643
17 5 61648
13 42 62416
19 48 62427
21 3 62602
10 38 64033
10 35 65053
25 3 68710
30 10 68904
2 17 69047
27 4 71659
17 35 71775
49 21 72627
30 48 72664
26 42 73544
29 2 73952
38 6 75128
14 29 75925
31 37 76351
48 35 76515
31 49 76649
13 5 76948
7 38 77420
39 24 78599
4 31 78777
25 46 80239
13 41 80280
41 32 81227
18 21 81611
13 19 81860
37 39 81954
26 2 83140
17 10 83234
19 39 84004
16 18 84910
23 40 85750
36 40 86002
19 38 86402
11 33 86407
3 32 86966
17 48 87386
23 16 87867
29 8 88609
24 48 89299
28 49 89522
20 42 90191
32 42 90823
23 39 93013
35 47 94368
5 39 94622
19 40 94759
1 20 96286
21 25 97227
8 26 97797
8 33 98094
26 28 98136
13 2 99877
48 21 100164
31 25 101249
40 4 102470
30 44 102880
25 49 103256
38 2 104419
39 32 104877
40 37 105171
22 36 107089
39 27 108310
22 35 108424
4 44 109589
13 49 111580
16 35 111707
30 22 112275
16 42 113709
14 44 122310
17 39 122930
20 13 123383
48 13 123581
32 17 125497
43 47 125507
21 39 126115
37 43 126477
39 48 127670
20 44 128764
17 16 129888
20 25 129943
31 32 131948
11 30 133049
19 22 133443
44 18 133528
18 22 135221
20 16 135911
21 32 135970
32 47 138611
11 4 139758
49 11 141465
32 43 143042
21 11 144303
33 36 144570
43 2 146391
48 43 148973
48 44 150575
9 43 150709
2 22 151460
27 11 152594
22 29 156540
11 26 158878
22 28 160890
46 22 160995
43 19 162223
16 39 162862
35 33 162969
40 38 163143
11 18 163697
22 26 165728
11 29 168066
39 11 169384
44 13 169546
40 22 169689
21 33 170372
33 31 174394
11 48 180744
22 20 188783
21 43 198806
11 17 208675
25 44 211361
39 33 214124
33 13 215483
13 43 229929
43 11 240888
16 43 241081
Case #28: 68
2 21 3264
17 23 6437
13 8 6634
3 1 8054
8 20 12226
6 3 13534
5 21 27710
9 18 33210
11 18 42466
23 19 46865
2 23 47388
5 19 49254
2 22 54854
15 3 58884
21 11 69725
17 18 82320
5 18 84481
10 24 85016
4 11 86559
11 19 91269
12 14 92277
17 14 93991
23 9 109093
13 15 110422
25 11 113483
16 21 113673
23 11 118349
20 22 119293
18 19 122748
11 24 127555
13 19 129363
6 17 129827
8 9 134305
23 1 141744
9 15 143072
24 21 143255
2 6 143704
16 18 145851
15 24 148755
1 2 149184
20 11 155416
25 5 155498
20 12 158368
22 7 161623
13 3 163466
3 19 165083
18 7 169194
24 5 169570
7 19 176028
3 9 181941
7 20 186271
3 25 186788
20 5 197431
22 25 201719
12 21 209604
10 1 213766
21 10 216977
1 18 217627
6 10 219246
14 1 229298
16 3 233579
23 10 253656
22 12 261194
24 20 262153
25 13 262723
15 7 277833
7 3 330877
8 10 343517
Case #29: 123
1 32 5514
6 4 24289
24 17 60207
21 2 64121
26 2 72689
11 19 81775
21 4 91111
1 17 93720
3 17 99543
6 3 108626
7 4 108729
13 28 110766
27 4 111801
28 25 112701
30 20 113911
2 32 117262
25 17 121573
25 32 125867
17 23 131242
28 21 138514
11 10 142024
17 14 144462
16 19 145003
17 21 147386
16 32 147720
21 13 148759
4 1 149766
8 28 150601
7 21 151262
9 2 153883
26 13 157327
22 28 158076
30 23 158122
22 7 158857
6 30 159002
7 26 159830
32 13 167589
21 3 170046
23 2 170701
14 25 170848
13 10 175651
9 4 180873
7 29 183043
4 11 184029
16 9 184341
21 24 189849
3 27 190736
10 1 191436
18 6 194026
19 7 196284
18 2 196727
12 13 198153
23 16 201159
30 27 206080
18 28 207275
1 7 209917
24 10 224949
21 30 225824
14 32 232668
20 6 234264
13 8 238856
28 12 240814
9 7 241024
23 22 242417
8 22 242509
14 31 247420
27 23 255512
12 10 256188
28 20 257277
29 30 257605
16 20 262021
23 11 265292
18 14 265422
14 11 267646
11 8 268771
29 2 270184
8 27 273340
30 32 278965
19 23 279844
27 28 281407
27 10 282089
19 22 287727
23 8 290715
28 30 298236
16 10 304651
19 18 305870
30 24 306964
27 25 312248
30 9 315586
11 30 318742
22 27 330809
29 13 331148
15 32 331403
23 12 337122
30 15 338921
3 15 342740
19 20 346108
15 23 347919
5 1 350789
29 25 352298
7 10 355932
9 17 359351
5 15 366477
20 10 370889
31 21 374078
11 20 375447
26 31 382646
26 15 389667
8 29 390198
15 28 393165
14 12 394148
5 8 416542
8 31 417212
15 13 440390
5 31 446321
31 1 469209
31 12 476378
15 12 483399
5 4 489527
30 31 495997
5 7 549678
5 30 624240
29 5 664206
Case #30: Impossible
Case #31: 77
14 20 35258
22 10 42075
19 7 43238
10 17 62303
19 16 73206
6 7 75214
22 12 104041
12 7 104757
23 24 110930
10 6 118005
19 22 128104
14 15 140522
17 19 148332
18 10 158221
11 4 160852
2 12 163074
8 12 164517
22 21 172995
24 7 177144
7 5 184861
24 17 191819
18 7 201012
12 15 207122
17 20 215079
11 24 216147
18 12 220187
20 6 223250
11 16 225893
19 14 226532
5 24 230421
20 7 234512
20 22 235307
8 22 237725
20 11 239407
14 10 241386
7 21 257861
20 16 264480
14 3 265032
20 5 267234
10 15 269088
7 1 275276
11 12 288534
17 5 289955
24 18 292574
16 23 302427
3 11 312030
20 12 317507
1 10 318067
8 5 322551
13 7 324539
3 17 330053
6 4 345515
1 2 346120
4 17 346958
13 4 347391
24 21 349423
3 22 350281
10 13 367330
20 18 373628
8 16 373967
20 13 394774
11 9 396131
7 4 400725
23 13 414164
4 12 419900
8 1 441982
11 5 444738
18 13 468345
17 9 477520
1 15 484587
9 15 502707
20 9 506886
15 4 511734
16 9 553095
9 1 563013
1 3 591435
5 9 598393
Case #32: Impossible
Case #33: Impossible
Case #34: 50
44 35 197016
30 12 267618
16 12 321239
42 12 327850
39 19 335958
21 2 368163
10 17 368531
19 21 381819
34 49 395204
13 1 414061
16 21 435498
18 34 459547
21 46 529838
12 35 551402
30 11 560623
19 28 561606
13 22 566483
50 22 591809
27 23 609756
2 26 615291
33 13 621661
46 7 637295
41 33 638285
1 2 655399
44 48 659856
5 36 674757
44 6 674811
10 1 676915
48 39 678286
4 45 684947
11 13 689336
23 49 698707
38 1 704041
11 47 730672
21 22 732286
48 8 763747
36 42 842281
10 4 847652
10 45 856700
27 19 863133
28 21 870740
17 20 874054
13 43 881579
1 3 890596
19 20 906648
33 26 919977
38 8 936996
48 6 940635
16 29 950065
3 26 964754
Case #35: 67
17 7 6621
20 21 7950
12 3 8271
27 18 10509
25 18 11822
11 22 19345
15 10 19772
13 21 20590
17 8 21641
9 3 28620
2 22 29169
6 27 31290
25 6 32603
5 14 42877
22 4 43340
14 22 43914
6 22 46653
22 24 47737
17 3 48056
6 7 49267
18 8 55028
5 9 55058
19 26 56765
9 21 58577
21 25 61756
18 23 61837
24 18 65537
23 22 66173
15 5 66216
22 18 67434
18 7 70048
22 12 72802
14 8 74665
22 8 80900
6 23 82618
6 24 86318
25 19 88432
20 16 89387
14 7 89685
19 16 90018
14 21 103387
3 15 103688
19 3 103820
20 4 104058
5 18 104269
10 26 107763
27 4 108061
1 20 115601
2 26 117367
20 11 123918
5 6 125050
13 22 125306
21 11 126551
27 1 134071
19 15 134868
26 5 135345
13 17 150274
17 1 152275
14 16 158469
8 15 167661
26 21 172839
1 26 175788
26 13 179678
26 8 179703
26 7 194723
16 23 214536
17 16 217224
Case #36: 50
19 14 260271
1 9 283845
8 22 314594
28 8 324381
45 5 333069
24 11 360179
44 42 413803
42 4 472060
33 38 474098
34 4 493945
29 24 499461
32 28 546251
15 37 558986
11 25 567381
31 41 569419
16 34 573068
3 14 607599
33 3 615858
8 45 622513
30 22 631660
9 16 636169
21 26 639297
4 33 639777
46 17 654893
18 45 656121
46 28 685280
38 46 690370
41 36 697397
8 40 705823
5 46 720217
41 21 749228
9 20 767485
37 22 784429
5 9 796320
22 27 801796
28 44 804798
46 11 807371
23 45 821124
28 7 869999
19 30 904155
39 11 905150
23 19 917614
43 46 928018
20 45 935425
6 5 944666
45 3 947734
18 11 959402
5 37 959883
37 6 962062
13 17 994660
Case #37: 6
7 1 27309
2 4 36438
2 5 99534
6 2 125000
7 2 273266
3 4 464456
Case #38: Impossible
Case #39: 1
2 1 1000000
Case #40: 170
4 8 11244
28 35 42266
4 36 59827
38 35 65044
41 5 72871
2 12 88537
7 21 92353
39 1 94440
13 10 95510
9 13 100366
28 46 104873
11 38 107888
38 41 108258
39 15 111732
38 40 113023
9 36 114986
7 9 115767
19 30 116106
45 43 119367
9 17 121344
21 46 121917
12 45 123298
46 15 128618
9 5 129205
35 30 132950
5 10 133997
25 7 143466
31 9 144299
21 16 148496
38 46 152869
25 41 158513
41 17 158825
23 45 159196
13 19 161097
29 15 161269
14 13 162032
14 18 162415
28 16 165540
40 46 169900
25 23 170460
26 7 171852
17 37 174141
4 9 174809
19 28 177241
35 13 177941
25 6 178631
19 34 179173
41 39 182337
13 36 182482
35 16 182588
1 19 183462
40 39 187102
29 24 187227
37 46 187872
25 10 190705
34 40 191132
12 1 191502
30 12 192380
14 7 194171
35 12 200053
39 23 201603
4 38 202841
43 13 203298
37 18 204198
2 45 204324
29 23 205666
11 7 206680
12 44 208218
41 1 209525
44 10 209837
21 13 212033
18 30 213437
21 33 216560
28 13 216898
36 39 217097
43 36 217918
6 32 221459
16 41 225802
39 17 226032
5 17 228576
29 17 230095
40 16 230567
45 46 231717
28 33 233604
42 21 233817
21 2 235184
37 45 237094
28 17 237876
