150
50 99629
0 0 28
11 22 82
18 0 69
21 2 82
10 4 82
4 25 82
9 0 41
37 44 82
2 48 82
27 7 82
34 21 37
14 7 82
32 0 67
12 19 82
30 0 51
28 20 82
6 30 82
19 4 49
15 28 82
16 28 79
23 0 77
26 40 82
28 440
67 0 341
23 0 287
28 0 346
88 126 271
50 90 440
39 94 194
74 0 250
52 103 440
85 17 381
8 172 344
6 92 381
45 0 194
89 0 310
63 0 151
43 83 440
65 216 440
46 117 355
58 0 336
19 188 302
11 50 142
1 88 440
81 104 356
29 150 440
5 0 425
30 125 440
70 83 372
7 0 279
55 300 398
31 632
24 122 632
31 173 454
38 0 268
18 55 231
9 26 325
7 104 409
48 24 632
37 0 630
18 395 632
41 0 562
33 52 632
20 0 331
15 195 522
26 152 562
5 0 624
16 0 575
12 0 537
11 0 409
47 310 632
4 36 469
1 277 632
44 396 543
6 0 614
46 162 632
0 0 494
28 0 574
22 0 464
13 0 625
17 305 632
30 256 632
27 30 632
11 990
12 0 862
23 183 990
24 283 990
18 405 990
46 125 990
25 293 990
13 41 691
10 0 949
28 5 990
7 758 983
26 261 990
10 753
21 0 714
61 0 526
23 0 221
62 0 624
49 159 725
40 0 487
13 138 753
25 238 452
19 364 753
33 0 746
39 676
62 203 676
15 0 651
65 26 676
85 0 676
41 0 440
18 241 676
71 278 676
10 192 676
1 164 350
73 200 676
2 0 514
84 92 571
60 0 461
39 217 382
25 0 481
16 40 676
52 0 318
8 0 538
12 206 676
44 226 676
77 32 676
64 172 676
56 0 654
11 33 676
82 0 415
23 303 676
26 132 676
29 0 535
0 63 676
79 153 676
34 0 397
17 0 456
40 31 676
36 215 676
61 0 657
13 0 260
78 106 676
66 239 676
74 272 676
11 15
2 1 7
2 9 15
3 0 4
5 7 13
7 0 8
8 3 6
8 8 15
10 2 9
11 8 13
14 6 15
16 0 6
26 232
37 47 232
6 9 122
30 0 191
15 19 232
34 66 232
32 25 232
42 6 155
3 0 218
9 0 153
13 72 232
10 0 205
35 0 207
5 0 148
31 0 136
39 0 106
7 115 232
18 0 102
28 116 232
11 114 232
27 78 151
40 146 232
46 0 111
12 102 232
2 0 232
11 0 80
38 21 232
45 478
35 0 285
3 215 478
23 214 432
26 0 447
48 92 281
11 41 478
6 112 478
67 156 478
61 0 229
18 158 478
52 0 230
31 0 197
1 0 456
32 0 455
53 0 116
17 257 478
25 61 478
21 176 478
27 244 417
13 1 333
34 3 182
64 0 294
8 293 478
55 0 478
47 0 462
40 0 339
0 0 301
30 118 478
4 0 440
51 264 424
57 0 398
45 202 478
41 21 158
59 161 452
58 319 478
46 178 478
60 0 214
43 0 137
46 0 168
66 30 478
28 0 423
56 112 478
61 293 478
14 0 270
65 180 478
44 332
115 241 307
48 65 332
64 0 250
125 0 183
3 0 224
86 58 332
87 113 332
18 0 268
51 2 108
45 73 283
122 0 305
6 211 332
107 138 332
110 13 332
57 128 332
117 71 332
76 139 332
22 112 332
30 67 332
12 59 332
23 0 271
44 12 332
46 37 297
120 59 332
41 0 316
81 3 177
112 0 318
40 71 139
81 240 332
59 0 265
103 0 293
15 0 219
94 91 332
11 96 332
80 48 332
56 0 255
66 0 316
75 67 332
4 64 332
118 0 307
68 0 312
38 0 254
70 42 332
65 163 332
6 815
27 329 815
61 186 815
28 0 815
4 0 537
8 0 462
58 188 595
42 427
1 0 309
39 135 427
11 0 328
44 0 288
6 0 412
16 13 427
47 0 284
15 0 357
25 124 427
3 39 427
42 268 368
5 0 342
26 69 262
27 0 320
7 0 252
13 207 388
8 283 427
41 0 240
52 300 427
32 86 427
19 201 415
43 0 377
29 0 395
7 259 427
33 14 394
36 94 427
0 0 359
2 26 353
30 0 380
23 1 399
21 111 427
9 136 427
49 95 427
35 0 402
38 116 232
48 0 302
17 47 401
20 202 427
12 193 427
45 307 427
46 0 344
34 0 174
50 971
51 0 728
18 335 971
32 47 971
41 0 850
49 38 971
8 0 919
0 189 971
40 225 971
29 0 611
6 456 971
59 64 971
5 82 680
34 144 971
35 169 971
48 0 794
36 33 971
53 134 971
17 0 558
25 42 594
50 248 971
31 0 961
47 330 971
55 0 586
65 0 215
2 40 971
39 4 971
11 345 971
52 216 971
43 265 881
27 0 865
58 0 857
15 128 971
10 0 898
30 75 971
20 92 971
54 0 724
4 138 971
12 117 971
63 71 500
1 50 971
3 0 678
65 472 971
60 424 859
38 0 461
22 84 971
62 0 897
19 0 964
24 0 562
45 0 691
7 0 650
30 839
49 15 839
28 0 431
23 210 839
11 0 792
3 287 839
14 82 839
12 321 529
40 0 791
48 20 328
24 96 839
27 0 728
4 348 839
7 63 359
15 17 839
43 357 628
29 72 544
26 0 754
39 0 599
50 0 720
45 0 560
34 101 839
5 120 839
8 0 653
1 0 839
41 46 839
13 109 839
17 144 839
36 531 839
31 13 839
46 530 839
50 913
13 487 858
2 684 875
6 0 460
81 0 886
11 648 900
70 171 913
48 0 705
16 257 913
25 351 913
32 0 854
74 262 913
46 173 913
77 59 404
59 0 733
9 479 913
80 0 699
58 132 452
0 67 913
71 4 913
45 180 913
6 524 913
53 13 913
38 53 913
44 317 913
20 176 913
72 121 913
51 0 852
28 0 855
76 0 857
63 0 448
19 637 834
56 0 383
49 297 503
62 36 913
79 0 774
21 68 913
29 0 558
18 62 913
14 0 474
43 0 694
55 233 913
27 289 913
12 0 600
23 272 749
19 0 575
36 0 625
52 361 913
41 535 794
34 240 745
61 335 913
50 99837
100000 0 95815
93913 0 66977
2104 17849 99837
48320 49218 99837
7304 0 80739
43258 16624 61903
72280 0 70319
71766 59713 99837
57014 0 46914
78458 8080 99837
58255 15169 62119
82680 0 60629
82281 0 88526
83391 0 67590
15494 25510 51765
43151 0 79307
41441 0 89911
92180 0 75850
75545 0 76272
86796 34804 87458
16858 0 77438
58711 62767 99837
8106 40721 99837
69693 43016 99837
98413 53867 99837
91880 74245 95247
61423 0 48298
43982 46526 69398
6568 0 78679
87471 69091 99837
92154 45282 99837
22638 0 55238
35028 0 47487
53516 29177 99837
2037 46741 99837
63782 0 75575
55030 0 94078
26792 0 63517
69823 16452 99837
75893 0 88108
12290 0 99360
41477 11793 99837
95930 46512 99837
15996 0 76999
22406 21739 99837
67211 0 35852
68589 5451 99837
2600 42828 99837
85115 0 58234
21559 32038 99837
3 9
33 0 6
66 0 9
99 3 9
47 421
22 0 405
48 6 253
45 202 421
19 14 421
33 0 161
34 215 421
3 131 421
34 0 165
56 193 421
31 163 421
58 50 421
53 10 421
10 0 130
6 90 421
54 215 421
16 35 421
46 23 421
40 43 421
41 0 234
4 54 421
11 145 421
9 0 339
44 58 421
32 4 181
13 0 390
24 209 421
21 275 421
51 0 230
1 158 385
23 71 187
7 58 386
18 0 288
12 0 136
37 0 370
42 224 421
30 89 421
27 0 413
57 21 421
39 37 187
20 0 268
17 0 250
36 58 264
2 265 421
26 0 191
0 27 421
25 0 421
8 18 421
50 100000
100000 25697 100000
96114 0 75919
55020 45840 100000
12712 30014 100000
8973 0 62582
36320 6906 56362
66239 36919 100000
98030 50788 100000
36614 0 56722
6471 46773 91136
97823 59309 100000
38506 0 72487
69706 0 97253
75371 46851 99114
71451 21863 100000
41964 21457 100000
82415 0 99442
83585 0 73981
55014 0 100000
8483 54911 82330
62819 18776 38932
92868 28387 100000
41311 0 65188
83336 15898 56458
2864 0 55258
75766 0 77956
40160 1301 100000
46238 16980 100000
75249 51257 100000
7754 22034 55502
19835 0 91045
6406 0 93733
94401 37861 100000
10218 0 50747
25496 0 59498
49929 52410 82083
88840 419 26105
47287 0 97402
34402 48022 81453
95982 0 38149
94061 4309 74476
91984 23971 70310
21500 0 80809
59436 0 57030
53720 0 40937
63724 23903 100000
44995 0 76747
16687 0 65194
59953 0 83332
16243 8047 60955
8 620
53 0 607
89 384 620
52 454 612
58 397 620
84 186 620
3 0 368
19 0 357
2 0 363
46 381
64 249 341
1 80 381
16 80 381
9 0 355
55 0 285
7 60 276
2 0 183
43 0 360
49 142 381
51 103 349
8 0 381
20 54 381
56 0 190
45 167 381
59 80 381
24 0 304
5 247 381
52 22 381
3 62 381
41 0 365
12 126 381
21 0 263
62 0 367
32 223 358
23 50 381
25 82 381
19 12 381
39 0 364
14 101 381
53 4 381
17 202 381
61 0 151
54 103 325
31 167 381
29 0 91
10 91 381
5 52 171
4 169 324
40 0 299
46 64 381
29 237 329
57 0 303
26 0 198
2 211 381
34 221 362
0 113 270
3 461
2 0 459
51 0 153
66 0 156
22 394
3 0 394
26 0 268
79 0 188
64 0 281
66 0 293
82 0 292
19 0 304
8 14 261
77 0 229
68 0 130
37 0 324
55 0 293
74 100 385
88 0 240
43 190 394
34 171 336
14 8 158
9 34 394
1 0 329
87 13 394
17 0 341
61 44 394
25 327
6 36 220
24 58 327
4 0 269
14 0 195
75 0 311
90 0 237
33 24 205
107 90 327
51 75 327
64 0 317
65 0 243
53 56 327
66 28 327
18 28 107
62 131 327
68 162 279
23 21 327
16 0 134
52 0 247
55 225 327
27 204 327
73 0 145
102 112 260
8 0 188
35 0 235
39 644
7 340 615
31 0 581
56 225 644
81 0 414
59 51 456
26 243 644
63 17 644
47 118 644
80 47 390
50 0 574
61 291 644
93 12 644
49 114 644
57 79 248
78 55 644
12 0 584
44 199 644
25 0 597
67 183 644
20 0 571
37 164 644
55 126 409
28 81 644
22 131 348
16 116 644
48 0 438
32 0 479
39 327 597
39 87 271
18 0 469
2 287 644
69 119 644
72 197 644
84 0 511
74 0 456
76 239 543
52 0 513
1 0 563
87 0 468
45 153
90 12 153
28 65 153
98 75 153
92 39 152
103 0 124
91 98 153
117 13 95
44 59 153
36 39 153
101 0 144
25 50 153
71 24 130
14 50 153
67 42 153
54 0 73
2 13 153
1 9 106
105 0 149
13 0 123
34 0 99
23 66 153
100 64 153
48 104 153
21 50 153
55 0 114
33 33 121
51 0 152
64 4 95
75 0 153
73 0 152
38 7 153
70 0 127
89 0 136
43 67 133
30 70 143
31 21 153
99 91 136
74 47 85
78 0 122
110 25 153
50 18 100
5 0 109
93 50 153
59 51 153
60 0 83
43 469
50 0 250
46 0 380
49 115 469
1 0 203
21 0 402
24 13 469
5 0 405
59 30 354
2 69 172
56 37 266
42 0 212
67 77 418
31 166 469
38 19 469
48 257 469
62 0 310
47 10 156
15 14 320
66 105 469
58 25 181
4 322 469
35 17 181
43 3 469
36 0 422
57 0 349
10 186 406
26 0 235
54 205 469
7 0 420
13 148 408
34 0 380
64 0 424
44 152 469
19 21 249
52 58 225
33 26 252
17 0 318
41 0 428
61 0 468
54 0 176
3 279 469
63 171 443
55 248 434
50 96584
100000 0 94697
73849 14298 96584
93796 24441 96584
13460 24999 96584
10767 56877 96584
92069 44057 96584
75407 62653 96584
96263 10526 96584
3620 9617 74034
59437 0 63032
64203 40718 96283
17953 0 52219
35414 0 67173
59734 10674 96584
78977 0 37380
16388 4097 96584
10495 0 84305
34264 0 42586
53344 0 78592
46596 0 76741
767 0 82734
76046 0 92700
69677 57469 96584
71407 0 78091
66144 0 80435
48261 34023 96584
96994 3717 71988
28809 0 63831
14149 0 96584
97692 0 94155
12011 31215 96584
99283 21773 96584
30636 0 83267
69214 0 72741
9147 0 67523
58603 38955 96584
20284 38889 94358
58663 13951 65504
97228 0 42290
31577 44555 96584
65257 18384 96584
7620 0 78381
62421 0 57178
47356 35657 96584
5542 0 88859
1532 23726 96584
58719 4324 96584
12941 0 83068
48258 0 93141
73165 44971 96584
35 256
62 0 199
119 0 245
30 0 84
52 42 256
66 72 256
98 98 256
46 50 256
82 37 256
71 23 256
64 0 228
111 56 256
88 86 256
100 0 135
81 15 256
112 0 205
12 19 256
10 0 231
116 109 256
27 52 256
91 150 236
17 0 178
90 50 256
42 72 218
32 0 176
16 42 256
2 0 180
24 55 256
93 1 256
102 0 111
75 116 202
34 0 227
13 41 256
95 0 220
9 77 256
109 0 236
8 762
11 34 762
47 0 687
73 0 591
51 215 680
22 0 647
57 0 741
72 51 360
45 89 425
9 777
0 52 777
46 0 565
4 317 777
8 53 777
17 0 775
3 0 539
44 0 724
37 31 777
50 291 777
50 96650
100000 69037 96650
25487 0 86237
39640 0 52868
29771 29890 96650
22707 8244 96650
30066 0 53533
55320 16053 96650
87888 0 88982
67877 0 87623
33157 52756 80956
61094 0 94840
94917 8695 86597
64098 13611 96650
35233 10140 96650
57021 0 84064
93234 29203 96650
75342 31997 96650
41840 0 86462
418 22082 96650
15681 41422 96650
29233 0 55240
42599 17018 96650
94142 29713 52961
80948 0 94101
50183 0 86687
18125 38871 96650
29812 31305 96595
95970 14654 96650
91047 0 93274
59496 35224 96650
52807 14419 72171
26683 6478 96650
2970 0 91157
50652 0 78889
11420 20710 96650
2463 0 73200
88708 0 76942
49448 1574 31434
22640 0 95838
48806 10854 96650
59667 32024 96650
69108 0 87094
26785 69041 95222
78582 0 43910
36803 0 87114
57888 0 86823
30038 28416 68768
65727 42994 96650
60454 0 58557
12124 11764 96650
37 525
59 29 525
92 45 314
2 87 381
5 168 525
27 0 372
44 0 423
81 76 181
104 148 372
66 100 525
120 208 525
115 0 516
65 152 525
81 233 457
1 52 525
42 0 312
88 0 131
140 0 525
60 14 525
99 0 411
77 0 338
21 350 525
114 231 525
28 0 491
110 41 263
94 0 281
97 253 361
36 201 525
0 150 525
100 280 525
108 221 525
70 0 231
143 93 525
119 0 260
62 42 525
90 355 476
38 15 525
135 0 452
2 4
0 0 3
1 1 4
50 100000
0 1 100000
1 0 99999
2 1 100000
3 0 99999
4 1 100000
5 0 99999
6 1 100000
7 0 99999
8 1 100000
9 0 99999
10 1 100000
11 0 99999
12 1 100000
13 0 99999
14 1 100000
15 0 99999
16 1 100000
17 0 99999
18 1 100000
19 0 99999
20 1 100000
21 0 99999
22 1 100000
23 0 99999
24 1 100000
25 0 99999
26 1 100000
27 0 99999
28 1 100000
29 0 99999
30 1 100000
31 0 99999
32 1 100000
33 0 99999
34 1 100000
35 0 99999
36 1 100000
37 0 99999
38 1 100000
39 0 99999
40 1 100000
41 0 99999
42 1 100000
43 0 99999
44 1 100000
45 0 99999
46 1 100000
47 0 99999
48 1 100000
49 0 99999
50 99202
100000 0 96169
53116 50488 74909
23357 18780 99202
93787 9103 99202
77257 34264 95152
53650 55301 99202
2000 0 68636
6898 73147 99131
12900 0 33902
12858 32036 99202
65546 45191 99202
77980 0 95882
41097 0 73031
48945 0 71642
66955 51038 99202
50071 16696 99202
10494 61371 99202
67434 27037 99202
38739 0 90799
19152 16484 99202
27051 0 79043
10760 24800 99202
79707 0 58702
98486 0 60459
82801 0 84683
4012 25667 99202
19910 15157 99202
30982 0 39906
38436 29222 99202
31404 67062 97488
60985 6555 34890
35033 5793 99202
22290 0 84025
60104 36758 57780
69717 0 88052
81327 17662 42294
10245 0 56466
36295 0 76587
53402 13361 39744
8640 12064 92188
72535 17499 99202
72847 38181 90175
10876 31436 85085
93953 0 48837
89083 5610 37974
41329 11393 99202
6862 0 80494
28833 0 80754
40353 4486 93115
87949 6530 99202
32 381
30 40 260
99 58 381
82 193 381
33 0 296
102 0 287
65 100 381
24 0 271
107 0 362
71 152 381
36 129 381
76 70 381
87 273 381
96 0 347
17 0 304
41 0 295
8 0 153
28 9 381
92 154 381
11 55 381
77 80 345
61 68 381
51 266 362
37 0 159
94 150 381
39 0 136
35 25 381
2 64 381
42 67 381
54 114 381
68 25 381
53 235 327
14 0 341
28 349
12 132 349
7 193 349
1 0 323
36 0 344
15 0 196
39 9 349
7 0 181
4 200 349
20 0 311
35 0 174
19 0 233
27 47 349
42 7 349
2 107 349
34 30 349
9 101 349
17 0 348
3 66 349
26 69 349
18 0 296
29 98 326
21 50 349
43 15 349
23 184 344
8 89 205
28 35 152
31 83 262
0 0 214
41 963
12 676 963
15 112 610
69 354 963
3 159 963
1 88 418
4 0 833
24 380 728
63 480 744
38 272 963
61 271 870
24 36 347
55 118 963
47 330 963
71 0 739
18 32 737
14 0 839
48 0 963
9 0 518
57 354 886
11 0 963
35 0 833
20 79 963
45 645 922
41 201 963
29 157 963
60 0 518
59 180 963
32 280 963
31 0 810
64 34 963
36 101 956
5 0 472
68 0 459
37 89 963
51 0 920
40 0 658
65 0 617
8 138 886
23 0 877
19 0 855
58 97 963
32 208
55 0 174
7 0 206
80 0 97
2 48 208
22 0 146
38 0 123
18 6 208
47 15 208
5 42 152
62 0 84
14 68 120
23 0 198
81 0 155
51 36 208
79 0 109
58 0 201
72 50 208
4 0 113
43 0 161
52 8 208
71 0 103
1 11 208
26 0 137
56 26 208
30 94 148
40 0 114
30 0 69
6 51 208
0 0 156
54 0 135
25 0 138
62 110 168
46 221
34 0 123
72 0 186
30 0 86
1 56 221
32 0 213
10 43 221
80 103 221
81 97 221
67 59 221
0 0 214
48 0 138
20 10 221
100 0 132
22 0 167
94 0 185
76 0 189
52 29 165
44 0 213
95 62 221
88 0 184
57 6 172
91 0 183
8 18 221
37 50 221
60 0 173
9 22 103
26 56 221
73 0 151
51 36 221
46 0 187
47 32 140
99 61 221
39 107 183
78 156 221
43 0 182
64 81 177
27 94 221
14 0 208
24 0 142
33 0 170
11 0 210
50 0 71
84 11 169
70 0 195
56 0 139
75 0 218
18 755
13 121 755
18 0 550
30 418 720
63 82 755
33 0 735
61 320 613
46 0 614
57 231 755
29 27 755
19 227 755
50 258 424
2 108 755
49 197 615
30 0 347
43 0 679
45 265 755
37 0 694
16 163 755
19 581
25 223 581
5 0 431
8 360 581
46 0 368
0 84 581
9 101 508
41 383 581
16 110 349
2 240 581
44 0 392
10 0 528
39 139 260
4 56 581
13 0 332
18 86 523
14 14 581
6 0 551
24 0 210
28 6 581
8 123
28 40 116
36 17 94
25 1 123
70 0 105
81 36 104
35 5 123
34 2 123
7 41 123
43 306
42 158 283
56 59 306
65 0 271
66 0 183
50 47 306
8 4 270
88 55 306
55 0 237
29 125 306
25 7 306
46 0 148
80 0 240
28 0 259
30 45 306
62 216 306
53 113 306
77 10 306
82 0 122
70 0 219
89 123 306
61 208 306
6 0 292
14 36 99
87 0 270
15 0 185
17 199 306
12 58 306
58 180 306
34 51 306
10 75 306
63 0 284
3 76 306
4 34 113
2 15 306
68 27 306
71 0 283
38 62 246
22 0 174
32 142 306
72 18 165
43 167 306
48 0 221
24 101 306
28 236
53 174 236
111 0 192
58 184 236
109 42 236
96 0 189
94 74 236
17 0 119
7 76 123
125 0 184
61 21 90
47 0 211
103 124 219
67 96 236
132 131 236
123 35 236
28 36 104
82 0 209
63 47 236
106 0 230
22 0 225
32 78 236
118 25 236
72 0 235
77 0 218
31 54 126
119 6 236
71 45 236
40 0 236
32 151
124 0 95
119 5 151
36 0 103
32 4 151
74 0 133
108 48 151
40 0 139
106 0 139
45 0 86
57 0 87
38 0 134
63 29 151
100 0 105
60 2 151
128 0 36
29 0 98
113 52 125
10 0 143
87 31 151
78 26 151
72 15 151
120 0 135
83 1 151
11 0 146
16 43 151
81 0 94
23 15 121
121 53 144
6 58 151
107 6 151
129 6 50
26 6 151
20 955
10 0 398
20 0 538
35 0 424
28 201 573
25 0 528
60 0 819
14 0 637
49 128 955
62 130 595
48 382 949
9 328 955
13 0 912
7 0 668
27 0 896
1 362 955
12 448 757
19 0 666
34 491 955
33 259 955
34 0 480
20 350
8 0 262
14 0 95
46 1 350
37 22 350
25 0 250
65 210 350
60 0 321
56 56 350
12 0 317
26 135 350
16 50 350
49 0 147
18 60 350
39 171 253
41 264 340
58 82 350
61 26 191
42 116 350
24 94 244
54 25 107
14 799
18 0 424
22 100 435
8 0 389
36 0 451
9 278 799
26 425 799
23 5 201
16 0 742
47 178 799
11 88 799
21 384 799
43 0 697
15 49 799
7 0 575
2 201
8 12 201
10 116 172
17 95
70 0 50
30 0 56
68 15 95
22 41 95
18 0 93
60 0 44
29 0 71
3 45 95
8 0 92
15 0 78
17 3 27
71 0 30
25 3 95
42 7 95
71 54 95
33 0 82
11 23 95
1 693
71 0 478
15 461
86 0 403
37 0 329
45 94 461
103 0 227
62 211 461
65 0 383
5 119 451
56 0 458
85 56 461
108 235 461
38 39 269
39 0 357
114 0 384
8 27 430
21 305 419
14 853
12 71 598
1 232 853
34 332 607
26 0 672
50 100 853
38 0 613
29 35 853
46 222 853
33 0 756
37 232 853
13 0 398
17 22 636
10 0 472
28 0 702
33 794
37 312 502
56 0 302
32 356 794
44 0 624
67 0 724
73 63 794
36 0 658
70 0 422
40 66 794
46 0 658
7 0 458
53 91 794
28 77 794
72 0 723
69 0 769
60 164 794
8 0 367
41 0 519
22 48 794
79 0 527
58 0 753
39 184 794
2 0 352
15 27 794
38 366 794
16 0 768
52 452 794
31 0 636
68 209 654
11 0 299
4 0 560
75 183 794
19 165 794
10 343
6 31 343
5 1 343
1 0 270
3 43 343
28 0 315
19 0 312
10 0 172
27 11 343
11 0 148
8 0 276
44 724
47 98 724
29 0 481
7 0 644
24 286 724
19 158 724
5 436 724
33 0 715
13 141 724
56 301 724
39 0 631
42 350 724
26 3 724
31 0 670
18 31 724
65 321 507
63 101 716
12 0 586
64 55 724
2 86 724
34 82 255
52 0 358
8 244 724
53 169 724
15 0 583
6 0 621
1 69 315
27 225 724
58 286 724
17 417 689
22 0 610
66 433 724
59 0 613
45 302 724
35 0 400
25 0 623
42 0 320
4 51 724
21 376 724
20 362 647
61 0 574
60 0 427
41 0 513
54 77 724
62 364 669
11 866
52 0 805
3 65 866
28 61 866
19 0 849
29 0 276
16 585 818
13 0 493
58 63 866
26 401 676
38 0 400
36 0 720
28 480
37 55 480
30 45 480
40 279 480
39 165 480
25 0 242
16 49 480
32 0 359
4 0 477
3 50 480
24 0 390
12 52 480
36 0 460
22 0 422
31 4 480
18 78 461
13 54 480
10 0 424
19 79 480
27 0 441
17 322 480
43 158 480
35 0 299
0 143 362
5 0 336
26 0 277
20 0 458
9 0 439
34 248 480
49 935
42 0 518
68 337 935
27 77 935
25 361 935
24 0 407
29 4 282
12 0 802
56 43 513
8 252 808
11 161 935
31 0 770
0 0 627
36 329 557
16 194 935
49 0 803
19 287 631
18 122 935
61 403 935
20 392 935
1 0 548
52 0 891
62 259 493
64 0 733
33 38 935
9 17 935
67 568 872
37 0 698
71 0 893
38 0 654
34 0 638
70 140 935
2 0 750
13 256 935
17 476 935
40 155 591
26 565 760
22 0 778
55 66 935
26 0 538
15 89 847
54 570 833
60 98 935
43 208 495
53 357 935
5 425 935
7 155 701
23 95 494
65 516 935
41 354 700
38 120
12 0 103
25 0 112
42 69 120
36 1 120
75 31 120
85 16 120
15 36 88
29 0 72
22 14 120
10 51 120
11 0 92
103 0 83
6 60 120
49 0 66
9 0 104
31 4 120
93 28 120
32 0 115
